1939 OREGON              56 TEXAS               41
1939 OKLAHOMA            50 UTAH_STATE          39
1939 VILLANOVA           42 BROWN               30
1939 OHIO_STATE          64 WAKE_FOREST         52
1939 OREGON              55 OKLAHOMA            37
1939 OHIO_STATE          53 VILLANOVA           36
1939 OREGON              46 OHIO_STATE          33
1940 INDIANA             48 SPRINGFIELD         24
1940 DUQUESNE            30 WESTERN_KENTUCKY    29
1940 SOUTHERN_CALIFORNIA 38 COLORADO            32
1940 KANSAS              50 RICE                44
1940 INDIANA             39 DUQUESNE            30
1940 KANSAS              43 SOUTHERN_CALIFORNIA 42
1940 INDIANA             60 KANSAS              42
1941 WISCONSIN           51 DARTMOUTH           50
1941 PITTSBURGH          26 NORTH_CAROLINA      20
1941 ARKANSAS            52 WYOMING             40
1941 WASHINGTON_STATE    48 CREIGHTON           39
1941 WISCONSIN           36 PITTSBURGH          30
1941 WASHINGTON_STATE    64 ARKANSAS            53
1941 WISCONSIN           39 WASHINGTON_STATE    34
1942 DARTMOUTH           44 PENN_STATE          39
1942 KENTUCKY            46 ILLINOIS            44
1942 STANFORD            53 RICE                47
1942 COLORADO            46 KANSAS              44
1942 DARTMOUTH           48 KENTUCKY            28
1942 STANFORD            46 COLORADO            35
1942 STANFORD            53 DARTMOUTH           38
1943 GEORGETOWN          55 NYU                 36
1943 DEPAUL              46 DARTMOUTH           35
1943 TEXAS               59 WASHINGTON          55
1943 WYOMING             53 OKLAHOMA            50
1943 GEORGETOWN          53 DEPAUL              49
1943 WYOMING             58 TEXAS               54
1943 WYOMING             46 GEORGETOWN          34
1944 DARTMOUTH           63 CATHOLIC            38
1944 OHIO_STATE          57 TEMPLE              47
1944 IOWA_STATE          44 PEPPERDINE          39
1944 UTAH                45 MISSOURI            35
1944 DARTMOUTH           60 OHIO_STATE          53
1944 UTAH                40 IOWA_STATE          31
1944 UTAH                42 DARTMOUTH           40
1945 NYU                 59 TUFTS               44
1945 OHIO_STATE          45 KENTUCKY            37
1945 ARKANSAS            79 OREGON              76
